date,title,company,location,salary,source,is_walkin,link
2026-07-22 08:29,Power BI Developer,Willsmarg Technologies LLC,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/power-bi-developer-at-willsmarg-technologies-llc-4442984753?position=6&pageNum=0&refId=2o7dfOyTDgYW6nNLuHnATA%3D%3D&trackingId=E5WIJPtbOUewCoYHMHP5lA%3D%3D
2026-07-22 10:40,Data Analyst,Humyn Labs,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-analyst-at-humyn-labs-4443117482?position=1&pageNum=0&refId=qQBAhVQNoBCVO84VJZgZsQ%3D%3D&trackingId=sbSB7YCbsAre3%2FJ6Z4pO0Q%3D%3D
2026-07-22 10:40,Senior Data Analyst,eJAmerica,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-at-ejamerica-4443738057?position=10&pageNum=0&refId=qQBAhVQNoBCVO84VJZgZsQ%3D%3D&trackingId=wyOyfbNV2nKJ75ofbyl9JA%3D%3D
2026-07-22 10:40,Senior Data Analyst,Siemens,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-at-siemens-4442659600?position=10&pageNum=0&refId=pVyQnUAUOyvBkcEfHkZ3HA%3D%3D&trackingId=Mz3OfgcdRUdo%2Bo94gLlZaw%3D%3D
2026-07-22 10:40,Microsoft Power BI-Analytics and Insights Engineer III,Deloitte,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/microsoft-power-bi-analytics-and-insights-engineer-iii-at-deloitte-4443797018?position=1&pageNum=0&refId=3vToVujFUqOpipXBtN8mNw%3D%3D&trackingId=2GyKXQ3DSkOrBkFduC7%2BrQ%3D%3D
2026-07-22 10:40,Business Analyst (Azure Data Engineering & ETL),Tesslogs IT Solutions,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/business-analyst-azure-data-engineering-etl-at-tesslogs-it-solutions-4442990168?position=5&pageNum=0&refId=w6j9oPmc1vu5Y2pzMzaxOQ%3D%3D&trackingId=P3V4Ctdfjz7%2BLYziIaVA4w%3D%3D
2026-07-22 10:40,Data Engineer II-CDI,Deloitte,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-engineer-ii-cdi-at-deloitte-4443782473?position=4&pageNum=0&refId=Kn89Xg1KeVuyGNn39x5V%2BQ%3D%3D&trackingId=Qz4zK%2FMhBdIwynRD%2BHqfMw%3D%3D
2026-07-22 10:40,Python Data Engineer- Data Engineer III,Deloitte,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/python-data-engineer-data-engineer-iii-at-deloitte-4443778941?position=5&pageNum=0&refId=Kn89Xg1KeVuyGNn39x5V%2BQ%3D%3D&trackingId=Akb51sy%2F42ffasiWDuQXDg%3D%3D
2026-07-22 12:25,Digital Analytics Consultant,TestUnity,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/digital-analytics-consultant-at-testunity-4443122747?position=6&pageNum=0&refId=W3Lxtm1AxBwxBol99NWbvw%3D%3D&trackingId=mXWM3J0JtU6y8ErkM44Esg%3D%3D
2026-07-22 14:34,Data Analyst(Google BigQuery+LookML),Innova ESI,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-analyst-google-bigquery%2Blookml-at-innova-esi-4443911289?position=2&pageNum=0&refId=EkbX%2Fp66az6H408C1LmVgg%3D%3D&trackingId=AZNJ5aM7c3Mtuq%2BNTHCQUQ%3D%3D
2026-07-22 14:34,Team Leader - Power BI,Autoliv,"Singahalli, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/team-leader-power-bi-at-autoliv-4443791502?position=5&pageNum=0&refId=fG9tNXl1KEFtYgKfWpSBfQ%3D%3D&trackingId=Sw6%2FY4sSlK4%2FFuKW%2FTKUYw%3D%3D
2026-07-22 14:34,Senior / Lead - Power BI Developer,CGI,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-lead-power-bi-developer-at-cgi-4443560436?position=8&pageNum=0&refId=fG9tNXl1KEFtYgKfWpSBfQ%3D%3D&trackingId=ktqbCyAOIoG%2FYJ4cl%2BSnBw%3D%3D
2026-07-22 14:34,Senior Data Analyst,TJX India,Greater Hyderabad Area,See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-at-tjx-india-4443141807?position=10&pageNum=0&refId=%2BANsAsUKsJq0LZRXGxXoyA%3D%3D&trackingId=EcYzzPDQ8pWIPD0d2nr2DA%3D%3D
2026-07-22 14:34,Data Modeler,Quantiphi,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-modeler-at-quantiphi-4441044457?position=1&pageNum=0&refId=eheqxJftmIvDjUCfg4KyGQ%3D%3D&trackingId=V4UzjflywVc5%2BdK1mkDfnw%3D%3D
2026-07-22 16:20,Data Analyst – Data Mapping for Opentext InfoArchive (AWS Environment),Sappro Technology,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-data-mapping-for-opentext-infoarchive-aws-environment-at-sappro-technology-4443160340?position=4&pageNum=0&refId=TBDGUipPW3%2Fd0nq4K4ZjpQ%3D%3D&trackingId=llzBcbT4oT6VY1HKQdaQ3Q%3D%3D
2026-07-22 16:20,Data Engineer [T500-27703],CIBC India,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-engineer-t500-27703-at-cibc-india-4443906005?position=6&pageNum=0&refId=hKi3u%2FoklOUFDMQ9AFfuRw%3D%3D&trackingId=7J%2F5Z3SInnEshb1JcuJ6kw%3D%3D
2026-07-22 17:49,Product Data Analyst (Power BI),Honeywell Technologies,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/product-data-analyst-power-bi-at-honeywell-technologies-4431633956?position=7&pageNum=0&refId=tC%2FdCRHouJiJUoKBuAGE5g%3D%3D&trackingId=E37gkZb1ndAlcbNunRaVzA%3D%3D
2026-07-22 17:49,Associate Manager Analytics (Hyd),Sigmoid Data Engineering,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/associate-manager-analytics-hyd-at-sigmoid-data-engineering-4441060681?position=1&pageNum=0&refId=ATucssacmO9AYdQnkdzRAQ%3D%3D&trackingId=o4FfznrKOJ0CdyRtbbkEGA%3D%3D
2026-07-22 17:49,Analytical Engineer (Data Modeller + Data Analyst),Zorba AI,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/analytical-engineer-data-modeller-%2B-data-analyst-at-zorba-ai-4443167991?position=1&pageNum=0&refId=sjsnrJXz18fdETt81aHzDw%3D%3D&trackingId=XxdUkAXkkJ36itryGXSOyw%3D%3D
2026-07-22 20:38,Analyst - Growth Analytics,apna,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/analyst-growth-analytics-at-apna-4443978638?position=3&pageNum=0&refId=1cFci3MEt%2FA0LbrXgUlV5g%3D%3D&trackingId=po8kyibh9xUtxjIWFaEkvQ%3D%3D
2026-07-22 20:38,Senior Data Analyst,Siemens Healthineers,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/senior-data-analyst-at-siemens-healthineers-4441061919?position=5&pageNum=0&refId=6Fj1%2F%2BzdsIYV2HFlo33%2Fsg%3D%3D&trackingId=KCDiff7uVXKW%2BDTNI3owog%3D%3D
2026-07-22 22:03,Data & Analytics Solutions Manager,TJX India,Greater Hyderabad Area,See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/data-analytics-solutions-manager-at-tjx-india-4443407026?position=3&pageNum=0&refId=0joGn56WiBDnkiEAV8HKkA%3D%3D&trackingId=CJRbhtXaJkyDYqSUhRTUJw%3D%3D
2026-07-22 23:30,Lead Specialist - Business Intelligence,Gallagher,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/lead-specialist-business-intelligence-at-gallagher-4315861312?position=9&pageNum=0&refId=N%2FhBmxvG4CtFqFGFzhuE1A%3D%3D&trackingId=EzjxzXAz%2B49%2F6v2i04HGzg%3D%3D
2026-07-23 07:33,Marketing Analytics-Managed Services Engineer III- Customer-DFO&I,Deloitte,"Hyderabad, Telangana, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/marketing-analytics-managed-services-engineer-iii-customer-dfo-i-at-deloitte-4424359569?position=2&pageNum=0&refId=QE2HBQ3b1UjuiiXOivakFA%3D%3D&trackingId=vMT1GVISYBh8UwU7qQ4hcg%3D%3D
2026-07-23 07:33,Business Intelligence Manager,Artech L.L.C.,"Bengaluru, Karnataka, India",See listing,LinkedIn,No,https://in.linkedin.com/jobs/view/business-intelligence-manager-at-artech-l-l-c-4443808047?position=3&pageNum=0&refId=U2LweZ8yyP1EC1bCm5zWzA%3D%3D&trackingId=YRCHHLw%2BoK7fUZEwuZpjQg%3D%3D
